	faith_pd
10317.000050565.46739	9.14712
10317.000073329.33800	12.1537
10317.000046534.4033	16.639409999999998
10317.000010171.2932	9.6691
10317.000030344.2982	13.64454
10317.000002534.2907	10.76299
10317.000027325.3022	13.82423
10317.000045027.4016	12.464210000000001
10317.000041620.26484	15.317039999999999
10317.000017710.3020	13.90796
10317.000058884.26478	9.426499999999999
10317.000021260.2988	15.707619999999999
10317.000033228.4016	17.44396
10317.000059943.33800	12.09446
10317.000004800.2988	16.743969999999997
10317.000043093.26484	17.96106
10317.000038490.4021	8.44785
10317.000039927D.3516	15.88136
10317.000014440.2917	14.4532
10317.000101054.56187	16.00244
10317.000071452.50470	13.09037
10317.000022916.3018	15.6768
10317.000016166.2923	17.26576
10317.000046517.4033	10.178920000000002
10317.000026497.3018	22.892039999999998
10317.000058780.26478	11.037809999999999
10317.000017272.30606	12.67527
10317.000030989.2982	20.362590000000004
10317.000067492.26479	12.34086
10317.000037595.3516	17.11647
10317.000074848.50470	14.517779999999998
10317.000073279.31503	18.689790000000002
10317.000089322.54638	11.511519999999997
10317.000042006.3516	12.164589999999999
10317.000069847.52698	14.74282
10317.000013702.2911	15.02243
10317.000038324.7852	18.062640000000002
10317.000097016.62401	6.891009999999999
10317.000067879.26479	16.69604
10317.000005081.2960	13.822750000000003
10317.000028228.3022	20.066139999999997
10317.000083162.48742	15.94199
10317.000001243.2960	23.27351
10317.000016769.2921	16.948749999999997
10317.000036106.3099	9.821359999999999
10317.000029354.2982	18.96703
10317.000020787.2988	11.886059999999997
10317.000038332.32981	15.22495
10317.000022977.3018	9.90008
10317.000060270.41931	14.835960000000002
10317.000087016.53379	13.00281
10317.000042568.26484	16.18191
10317.000067688.26479	11.577720000000001
10317.000010331.32954	11.522350000000001
10317.000058421.25498	10.221810000000001
10317.000039681.25853	15.64555
10317.000036462.26480	19.742500000000007
10317.000071459.41931	13.41321
10317.000042015.4016	12.86028
10317.000001645.2948	13.625639999999999
10317.000007039.2905	16.27447
10317.000039840.3516	19.96597
10317.000013252.2911	12.089529999999996
10317.000067544.26479	16.63432
10317.000040316.26484	20.483690000000003
10317.000063308.26480	41.737550000000006
10317.000021614.25370	7.824519999999999
10317.000039646.25853	14.857819999999998
10317.000043117.26484	18.08636
10317.000054203.25370	7.88106
10317.000031857.4491	14.36875
10317.000071532.41931	10.90025
10317.000073789.50470	14.255169999999996
10317.000071886.48742	10.10114
10317.000009158.2907	21.28717
10317.000001265.2907	7.83546
10317.000001360.2911	11.87509
10317.000007007.2923	12.690469999999998
10317.000012228.2911	16.0747
10317.000003423.2948	11.670950000000001
10317.000068829.26480	17.06271
10317.000015738.32954	14.457090000000004
10317.000041945.32981	12.93255
10317.000012452.32954	37.77176000000001
10317.000020406.4583	15.761140000000001
10317.000018408.2988	10.82076
10317.000067594.26479	15.89549
10317.000047694.7852	19.281809999999997
10317.000014143.2917	14.1813
10317.000101135.56187	8.54879
10317.000043140.25862	16.139029999999998
10317.000098750.56079	17.872209999999995
10317.000042010.25501	18.63746
10317.000032823.3099	16.64987
10317.000046470.25853	14.918369999999998
10317.000022968.3018	18.683880000000002
10317.000082940.48742	16.90982
10317.000013305.2921	9.77206
10317.000093403.56079	11.60206
10317.000035475.3099	11.05442
10317.000058598.25853	9.097560000000001
