,sample_id,PC1,PC2,PC3,label
0,47146,1.310054709000467,1.8722757363399487,-0.2355572218562116,feces
1,22501,-0.440816359119031,0.6683753372263762,-0.6714849968387666,feces
2,41609,-1.7318927086872449,0.9250433505751822,-0.15259060616009126,feces
3,82798,0.6016087351344737,2.7426082000239904,1.5003601388023249,feces
4,73297,7.346281899752578,-0.1944420136590499,-0.10597205399968476,feces
5,40508,0.024838029152920757,0.7608294336310407,0.8585597914043086,saliva
6,68781,-1.0193389578927872,0.9920488932795459,-0.403304386784534,sebum
7,97974,-0.0409781514774931,0.7480100974290959,-0.1423221546604614,feces
8,79154,-1.695384803683946,0.2032275298598876,-0.23316752015809936,feces
9,59915,-0.8144103806722546,-0.011079219982733014,0.40710442725234797,feces
10,21324,4.544639049146835,0.33278496155236714,-0.13986601461270395,feces
11,53371,-1.5882448292772575,-0.09083721759197354,0.32931983170878154,feces
12,18076,1.01171602390972,0.02985293501601273,-0.2154189358281854,feces
13,54189,2.4756302585226533,-0.6731569256765689,0.3736008132837859,feces
14,60347,-1.064508620079465,-0.3536981074687829,-0.3928484446379009,feces
15,43132,-0.18910591596494225,3.4622153661958195,-0.5974369525380717,feces
16,33506,0.08112131880164172,0.7141084390682225,0.4753586907144592,feces
17,33382,-1.0077975604014062,-0.10343541656411674,0.3783419861487609,feces
18,14142,-0.991717868865344,-0.30412333064209524,0.3220336846012019,feces
19,46938,-1.3098865212938666,0.15764002142540012,0.07371094417934977,feces
20,16381,-0.8348386898570953,0.6205225835721715,1.3844932978007412,feces
21,16380,5.885454996332379,-0.19368522538187247,-0.11292727895424592,feces
22,14890,-1.4519743694314242,1.0097201875655788,-0.3062543074755699,feces
23,5025,-2.4722759921315567,2.388961506952243,-0.8135725113839952,feces
24,50308,-1.7903537650741148,-0.41068102437918624,-0.22243407755838412,feces
25,1766,0.16625018616908413,1.7954838959458101,1.762190628889572,feces
26,15938,7.456370823464731,-0.6464154647655733,-0.1707355967389343,feces
27,58918,-1.2438055890005042,-0.6427906597306452,-0.6873058756438163,feces
28,94666,9.658079516295949,-0.3964342003520189,-0.10387218547014472,feces
29,68475,-0.9731351183533696,1.254142990589725,0.9471187372640752,feces
30,73893,-1.0772038611145445,0.7380228524475143,-0.4995249875934623,feces
31,63280,-2.8909627127128417,-3.364737479554438,-0.07485063569464091,sebum
32,14893,-1.0079378563157164,0.2916277681781591,0.2904355924184129,feces
33,71513,-0.7480275817181822,-1.0859078808946268,0.5031354238903857,feces
34,38028,-1.2963274093772104,-0.3829788416297468,0.4524604061110224,feces
35,20577,-1.6081733531626865,-1.1497503790203385,0.4800048507174518,feces
36,23924,7.5022002360090045,-0.6019768190284012,-0.0018811762387186265,feces
37,37970,-0.056043059201686035,-0.08039456444053188,-0.2818546776141035,feces
38,7178,-2.355088358291419,2.3984775533946663,0.6605614820389014,feces
39,82708,9.284300636014953,-0.2831688649279577,-0.19897977341798165,feces
40,29316,3.64028862184414,-0.5265818151014672,-0.3459438819330131,feces
41,20605,-2.554303096579632,0.7739058385296856,-1.0600105007355156,feces
42,6001,3.0133600070758715,1.640030924511917,1.587645517401702,feces
43,33208,2.8261669123175186,-0.0684698344274891,1.446854034396228,feces
44,59040,8.163134174944291,-0.8533657644688583,-0.19051058034050414,feces
45,30080,-1.8599836527947784,-2.1129800167532173,0.2519191508705687,feces
46,10246,3.8258441244064914,0.1720026033240849,0.1357072917782983,feces
47,7750,-1.3384150866652422,0.3111432356391404,-0.16047225576112714,feces
48,74235,-1.90797793078614,-1.5347525202127077,-0.17237214277832938,feces
49,67975,-1.9957717225476688,-0.8945231383852573,0.1692748677969907,feces
50,21977,-1.5518963030702648,-0.3981566812074132,0.1575186980157133,feces
51,28959,4.682298099159759,-0.4489592610143557,0.6395857016933353,feces
52,52274,-1.9734123582262475,1.8315029624070625,0.12555825754829486,feces
53,15495,-2.3533940075692783,-1.0508256215557774,-0.3636473494374352,sebum
54,97662,3.5450284480891643,-0.3832842773719508,-0.18782455635288425,feces
55,16331,-2.460750702802589,-0.3473306728941302,-0.4096031464917114,feces
56,27801,-0.4874111385361632,0.6543249844360272,0.5322707571397338,feces
